Lead No.,Clinic Name,City,Contact Method,Contact Detail,Outreach Message
1,The Dental Care clinic,Islamabad,WhatsApp/SMS,+92 334 9540490,"Hi The Dental Care clinic team,
I came across your profile and noticed you are providing dental services in Islamabad.
Having a consistent social media presence is key to attracting new patients in your area.
I created sample post ideas for your clinic to help showcase your treatments.
Would you be open to taking a look at them?"
2,Perfect 32 Dental Clinic & Dentist Islamabad,Islamabad,WhatsApp/SMS,+92 335 5528080,"Hi Perfect 32 Dental Clinic & Dentist Islamabad team,
I came across your profile and noticed you are providing dental services in Islamabad.
Having a consistent social media presence is key to attracting new patients in your area.
I created sample post ideas for your clinic to help showcase your treatments.
Would you be open to taking a look at them?"
3,Dental Parlor and Implant Clinic,Islamabad,WhatsApp/SMS,+92 332 8880891,"Hi Dental Parlor and Implant Clinic team,
I came across your profile and noticed you are providing dental services in Islamabad.
Having a consistent social media presence is key to attracting new patients in your area.
I created sample post ideas for your clinic to help showcase your treatments.
Would you be open to taking a look at them?"
4,Capital Dental Clinic Islamabad,Islamabad,WhatsApp/SMS,051-8151800,"Hi Capital Dental Clinic Islamabad team,
I came across your profile and noticed you are providing dental services in Islamabad.
Having a consistent social media presence is key to attracting new patients in your area.
I created sample post ideas for your clinic to help showcase your treatments.
Would you be open to taking a look at them?"
5,OraDent Dental Clinic Islamabad (I8),Islamabad,Instagram DM,@oradent_clinic,"Hi OraDent Dental Clinic Islamabad (I8) team,
I came across your profile and noticed you are providing dental services in Islamabad.
Having a consistent social media presence is key to attracting new patients in your area.
I created sample post ideas for your clinic to help showcase your treatments.
Would you be open to taking a look at them?"
6,Tooth Crew Clinic,Islamabad,Instagram DM,@toothcrewclinic,"Hi Tooth Crew Clinic team,
I came across your profile and noticed you are providing dental services in Islamabad.
Having a consistent social media presence is key to attracting new patients in your area.
I created sample post ideas for your clinic to help showcase your treatments.
Would you be open to taking a look at them?"
7,Islamabad Aesthetic and Dental Clinic,Islamabad,WhatsApp/SMS,0334 0334786,"Hi Islamabad Aesthetic and Dental Clinic team,
I came across your profile and noticed you are providing dental services in Islamabad.
Having a consistent social media presence is key to attracting new patients in your area.
I created sample post ideas for your clinic to help showcase your treatments.
Would you be open to taking a look at them?"
8,Smile Dental Care Clinic,Islamabad,WhatsApp/SMS,051-2252963,"Hi Smile Dental Care Clinic team,
I came across your profile and noticed you are providing dental services in Islamabad.
Having a consistent social media presence is key to attracting new patients in your area.
I created sample post ideas for your clinic to help showcase your treatments.
Would you be open to taking a look at them?"
9,Dr Moosa Zulfiqar (CDDC Dentistry),Islamabad,WhatsApp/SMS,+92 336 9399938,"Hi Dr Moosa Zulfiqar (CDDC Dentistry) team,
I came across your profile and noticed you are providing dental services in Islamabad.
Having a consistent social media presence is key to attracting new patients in your area.
I created sample post ideas for your clinic to help showcase your treatments.
Would you be open to taking a look at them?"
10,Alpha Dental Clinic Islamabad,Islamabad,WhatsApp/SMS,+92 348 0966024,"Hi Alpha Dental Clinic Islamabad team,
I came across your profile and noticed you are providing dental services in Islamabad.
Having a consistent social media presence is key to attracting new patients in your area.
I created sample post ideas for your clinic to help showcase your treatments.
Would you be open to taking a look at them?"
